pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:DATA, Threads, Virtual Memory, Physical Memory, Cores, Number of Lines
pc6/520Proj4/proj4/3-way-openmp/slurm-3459000.out:DATA, 8, 1622992, 1547784, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458922.out:DATA, 4, 4870352, 4641444, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458947.out:DATA, 16, 7302184, 6188512, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459082.out:DATA, 16, 2178988, 1547876, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459224.out:DATA, 8, 6712268, 6188392, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459119.out:DATA, 2, 1629188, 1547664, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458911.out:DATA, 2, 6269852, 6188264, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459202.out:DATA, 4, 1776668, 1547696, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459155.out:DATA, 16, 2178988, 1547852, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459213.out:DATA, 4, 6417320, 6188332, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458978.out:DATA, 2, 3176032, 3094508, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459091.out:DATA, 16, 7302180, 6188556, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459014.out:DATA, 16, 3247032, 3094860, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458864.out:DATA, 2, 4722868, 4641380, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458954.out:DATA, 32, 4390944, 3094860, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459159.out:DATA, 16, 3247028, 3094856, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458942.out:DATA, 16, 3247028, 3094808, 1, 500000
