pc6/520Proj4/proj4/3-way-openmp/slurm-3459004.out:Total time to run: 3711611.964000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458875.out:Total time to run: 7330812.687000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459187.out:Total time to run: 8923537.962000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459217.out:Total time to run: 612238.231000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459230.out:Total time to run: 317568.130000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459207.out:Total time to run: 1152194.769000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459061.out:Total time to run: 1214773.711000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459161.out:Total time to run: 945573.873000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459232.out:Total time to run: 475676.149000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459074.out:Total time to run: 1209601.249000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458849.out:Total time to run: 4963754.342000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459068.out:Total time to run: 2419568.424000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459137.out:Total time to run: 1824997.998000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459069.out:Total time to run: 2436437.240000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458949.out:Total time to run: 9865622.609000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458901.out:Total time to run: 9734562.663000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459151.out:Total time to run: 1258802.904000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459177.out:Total time to run: 1254535.601000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459038.out:Total time to run: 4644139.296000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459110.out:Total time to run: 4433620.637000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459009.out:Total time to run: 4942111.578000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459140.out:Total time to run: 2434406.487000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459039.out:Total time to run: 4784828.175000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459134.out:Total time to run: 1233625.715000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459185.out:Total time to run: 6560184.845000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458920.out:Total time to run: 7514442.836000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458918.out:Total time to run: 4592433.133000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459067.out:Total time to run: 2419426.615000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458982.out:Total time to run: 3766541.955000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459045.out:Total time to run: 9455800.764000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458996.out:Total time to run: 5013670.940000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458847.out:Total time to run: 2503713.114000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459228.out:Total time to run: 159774.618000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459197.out:Total time to run: 3573134.179000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459050.out:Total time to run: 2414233.256000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459126.out:Total time to run: 3467737.831000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459075.out:Total time to run: 1211791.684000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459005.out:Total time to run: 3770044.528000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459248.out:Total time to run: 635686.922000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459064.out:Total time to run: 1817682.568000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459097.out:Total time to run: 1209915.454000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459176.out:Total time to run: 1260471.664000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458940.out:Total time to run: 2505532.907000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459181.out:Total time to run: 4460511.976000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458974.out:Total time to run: 1253834.213000
